date,inflation_adjustment
2015-01-01,1.38
2015-02-01,1.38
2015-03-01,1.37
2015-04-01,1.37
2015-05-01,1.37
2015-06-01,1.36
2015-07-01,1.36
2015-08-01,1.36
2015-09-01,1.37
2015-10-01,1.36
2015-11-01,1.36
2015-12-01,1.36
2016-01-01,1.36
2016-02-01,1.37
2016-03-01,1.36
2016-04-01,1.36
2016-05-01,1.35
2016-06-01,1.35
2016-07-01,1.35
2016-08-01,1.35
2016-09-01,1.34
2016-10-01,1.34
2016-11-01,1.34
2016-12-01,1.34
2017-01-01,1.33
2017-02-01,1.33
2017-03-01,1.33
2017-04-01,1.33
2017-05-01,1.33
2017-06-01,1.33
2017-07-01,1.33
2017-08-01,1.32
2017-09-01,1.32
2017-10-01,1.32
2017-11-01,1.31
2017-12-01,1.31
2018-01-01,1.3
2018-02-01,1.3
2018-03-01,1.3
2018-04-01,1.3
2018-05-01,1.29
2018-06-01,1.29
2018-07-01,1.29
2018-08-01,1.29
2018-09-01,1.29
2018-10-01,1.28
2018-11-01,1.28
2018-12-01,1.28
2019-01-01,1.28
2019-02-01,1.28
2019-03-01,1.28
2019-04-01,1.27
2019-05-01,1.27
2019-06-01,1.27
2019-07-01,1.27
2019-08-01,1.27
2019-09-01,1.26
2019-10-01,1.26
2019-11-01,1.26
2019-12-01,1.25
2020-01-01,1.25
2020-02-01,1.25
2020-03-01,1.26
2020-04-01,1.27
2020-05-01,1.27
2020-06-01,1.26
2020-07-01,1.26
2020-08-01,1.25
2020-09-01,1.25
2020-10-01,1.25
2020-11-01,1.24
2020-12-01,1.24
2021-01-01,1.24
2021-02-01,1.23
2021-03-01,1.22
2021-04-01,1.22
2021-05-01,1.21
2021-06-01,1.2
2021-07-01,1.19
2021-08-01,1.19
2021-09-01,1.18
2021-10-01,1.17
2021-11-01,1.16
2021-12-01,1.16
2022-01-01,1.15
2022-02-01,1.14
2022-03-01,1.13
2022-04-01,1.12
2022-05-01,1.11
2022-06-01,1.1
2022-07-01,1.1
2022-08-01,1.1
2022-09-01,1.09
2022-10-01,1.09
2022-11-01,1.09
2022-12-01,1.09
2023-01-01,1.08
2023-02-01,1.08
2023-03-01,1.08
2023-04-01,1.07
2023-05-01,1.07
2023-06-01,1.07
2023-07-01,1.06
2023-08-01,1.06
2023-09-01,1.06
2023-10-01,1.05
2023-11-01,1.05
2023-12-01,1.05
2024-01-01,1.05
2024-02-01,1.04
2024-03-01,1.04
2024-04-01,1.04
2024-05-01,1.04
2024-06-01,1.04
2024-07-01,1.03
2024-08-01,1.03
2024-09-01,1.03
2024-10-01,1.03
2024-11-01,1.03
2024-12-01,1.02
2025-01-01,1.02
2025-02-01,1.01
2025-03-01,1.01
2025-04-01,1.01
2025-05-01,1.01
2025-06-01,1.01
2025-07-01,1.01
2025-08-01,1
2025-09-01,1
